Sample_ID,site,core,pre_post_thaw,copy_numb_gsoil
AT3_R5_POST_SOIL,CRREL,AT3,post,971044.721
AT3_R6_POST_SOIL,CRREL,AT3,post,395917.9821
AT3_R8_POST_SOIL,CRREL,AT3,post,694422.9491
AT4_R5_POST_SOIL,CRREL,AT4,post,468064.5343
AT4_R6_POST_SOIL,CRREL,AT4,post,459943.6841
AT4_R7_POST_SOIL,CRREL,AT4,post,139614.2564
AT4_R8_POST_SOIL,CRREL,AT4,post,136771.199
FL1C4_R5_POST_SOIL,FL,FL1C4,post,2326379.121
FL1C4_R6_POST_SOIL,FL,FL1C4,post,1838558.241
FL1C4_R7_POST_SOIL,FL,FL1C4,post,1182695.887
FL2C3_R5_POST_SOIL,FL,FL2C3,post,1577594.568
FL2C3_R6_POST_SOIL,FL,FL2C3,post,2220052.087
FL2C3_R7_POST_SOIL,FL,FL2C3,post,285504.0191
FL2C3_R8_POST_SOIL,FL,FL2C3,post,852293.484
BEO1_R5_POST_SOIL,Utqiagvik,BEO1,post,3366785.935
BEO1_R6_POST_SOIL,Utqiagvik,BEO1,post,11240266.64
BEO1_R7_POST_SOIL,Utqiagvik,BEO1,post,5946315.862
BEO1_R8_POST_SOIL,Utqiagvik,BEO1,post,5122120.036
BEO2B_R5_POST_SOIL,Utqiagvik,BEO2B,post,511240.3781
BEO2B_R6_POST_SOIL,Utqiagvik,BEO2B,post,847655.2386
BEO2B_R7_POST_SOIL,Utqiagvik,BEO2B,post,565415.4336
BEO2B_R8_POST_SOIL,Utqiagvik,BEO2B,post,537770.2033
AT3_R5_PRE_SOIL,CRREL,AT3,pre,799602.8476
AT3_R6_PRE_SOIL,CRREL,AT3,pre,383538.6395
AT3_R8_PRE_SOIL,CRREL,AT3,pre,1133648.975
AT4_R5_PRE_SOIL,CRREL,AT4,pre,179133.2362
AT4_R6_PRE_SOIL,CRREL,AT4,pre,457922.9386
AT4_R7_PRE_SOIL,CRREL,AT4,pre,278315.0136
AT4_R8_PRE_SOIL,CRREL,AT4,pre,646221.6132
FL1C4_R5_PRE_SOIL,FL,FL1C4,pre,1173201.729
FL1C4_R6_PRE_SOIL,FL,FL1C4,pre,672159.6186
FL1C4_R7_PRE_SOIL,FL,FL1C4,pre,1132228.951
FL2C3_R5_PRE_SOIL,FL,FL2C3,pre,451960.7312
FL2C3_R6_PRE_SOIL,FL,FL2C3,pre,51720.40577
FL2C3_R7_PRE_SOIL,FL,FL2C3,pre,24291.30797
FL2C3_R8_PRE_SOIL,FL,FL2C3,pre,20444.97127
BEO1_R5_PRE_SOIL,Utqiagvik,BEO1,pre,667917.1259
BEO1_R6_PRE_SOIL,Utqiagvik,BEO1,pre,2086355.008
BEO1_R7_PRE_SOIL,Utqiagvik,BEO1,pre,1827265.3
BEO1_R8_PRE_SOIL,Utqiagvik,BEO1,pre,2145045.584
BEO2B_R5_PRE_SOIL,Utqiagvik,BEO2B,pre,235671.3845
BEO2B_R6_PRE_SOIL,Utqiagvik,BEO2B,pre,196572.3349
BEO2B_R7_PRE_SOIL,Utqiagvik,BEO2B,pre,707945.3661
BEO2B_R8_PRE_SOIL,Utqiagvik,BEO2B,pre,500510.032
