fastq_id,sample_ID,site,core,pre_post_thaw,id,reads,gbp,Concentration..ng.ul.,nHE,Included.In.Analysis
15p,FL2C3_R7_PRE_SOIL,FL,FL2C3,pre,15,219380382,32.9070573,50,1338,TRUE
11p,FL1C4_R7_PRE_SOIL,FL,FL1C4,pre,11,198770772,29.8156158,19.3,3827,TRUE
7p,AT4_R7_PRE_SOIL,CRREL,AT4,pre,7,185503696,27.8255544,4.55,154,TRUE
9p,FL1C4_R5_PRE_SOIL,FL,FL1C4,pre,9,130962480,19.644372,45.7,1143,TRUE
16p,FL2C3_R8_PRE_SOIL,FL,FL2C3,pre,16,129109090,19.3663635,47.2,2468,TRUE
5,AT4_R5_POST_SOIL,CRREL,AT4,post,5,97484840,14.622726,4.41,865,TRUE
3p,AT3_R7_PRE_SOIL,CRREL,AT3,pre,3,86491820,12.973773,0.085,138,TRUE
8,AT4_R8_POST_SOIL,CRREL,AT4,post,8,78791104,11.8186656,2.97,1058,TRUE
4,AT3_R8_POST_SOIL,CRREL,AT3,post,4,63332514,9.4998771,28.6,204,TRUE
4p,AT3_R8_PRE_SOIL,CRREL,AT3,pre,4,62257376,9.3386064,16.5,731,TRUE
6p,AT4_R6_PRE_SOIL,CRREL,AT4,pre,6,58816084,8.8224126,6.2,14,TRUE
14p,FL2C3_R6_PRE_SOIL,FL,FL2C3,pre,14,56809332,8.5213998,40.4,713,TRUE
18,BEO1_R6_POST_SOIL,Utqiagvik,BEO1,post,18,53561498,8.0342247,7.86,319,TRUE
17p,BEO1_R5_PRE_SOIL,Utqiagvik,BEO1,pre,17,48809664,7.3214496,3.65,254,TRUE
17,BEO1_R5_POST_SOIL,Utqiagvik,BEO1,post,17,44749742,6.7124613,7.12,303,TRUE
24p,BEO2B_R8_PRE_SOIL,Utqiagvik,BEO2B,pre,24,43752322,6.5628483,10.2,149,TRUE
24,BEO2B_R8_POST_SOIL,Utqiagvik,BEO2B,post,24,43299236,6.4948854,40.9,311,TRUE
11,FL1C4_R7_POST_SOIL,FL,FL1C4,post,11,42740694,6.4111041,31.3,235,TRUE
19,BEO1_R7_POST_SOIL,Utqiagvik,BEO1,post,19,40763510,6.1145265,1.9,363,TRUE
14,FL2C3_R6_POST_SOIL,FL,FL2C3,post,14,40483558,6.0725337,35.2,84,TRUE
21p,BEO2B_R5_PRE_SOIL,Utqiagvik,BEO2B,pre,21,38919122,5.8378683,4.58,102,TRUE
7,AT4_R7_POST_SOIL,CRREL,AT4,post,7,38463082,5.7694623,1.43,10,TRUE
22p,BEO2B_R6_PRE_SOIL,Utqiagvik,BEO2B,pre,22,31120592,4.6680888,3.78,20,TRUE
13p,FL2C3_R5_PRE_SOIL,FL,FL2C3,pre,13,21118928,3.1678392,19.6,25,TRUE
8p,AT4_R8_PRE_SOIL,CRREL,AT4,pre,8,14411478,2.1617217,6.76,674,TRUE
10p,FL1C4_R6_PRE_SOIL,FL,FL1C4,pre,10,13376808,2.0065212,43.8,10,TRUE
16,FL2C3_R8_POST_SOIL,FL,FL2C3,post,16,12192754,1.8289131,42,512,TRUE
20,BEO1_R8_POST_SOIL,Utqiagvik,BEO1,post,20,11974304,1.7961456,5.31,406,TRUE
15,FL2C3_R7_POST_SOIL,FL,FL2C3,post,15,10167716,1.5251574,30.5,463,TRUE
23,BEO2B_R7_POST_SOIL,Utqiagvik,BEO2B,post,23,9445590,1.4168385,3.38,728,TRUE
9,FL1C4_R5_POST_SOIL,FL,FL1C4,post,9,6417872,0.9626808,22.4,312,TRUE
6,AT4_R6_POST_SOIL,CRREL,AT4,post,6,5080698,0.7621047,3.23,234,TRUE
3,AT3_R7_POST_SOIL,CRREL,AT3,post,3,3666696,0.5500044,10.3,79,TRUE
21,BEO2B_R5_POST_SOIL,Utqiagvik,BEO2B,post,21,3202886,0.4804329,3.41,248,TRUE
2p,AT3_R6_PRE_SOIL,CRREL,AT3,pre,2,2754500,0.413175,8.64,39,TRUE
5p,AT4_R5_PRE_SOIL,CRREL,AT4,pre,5,41865224,6.2797836,1.96,4,FALSE
1p,AT3_R5_PRE_SOIL,CRREL,AT3,pre,1,36173114,5.4259671,6.6,3,FALSE
12,FL1C4_R8_POST_SOIL,FL,FL1C4,post,12,29610538,4.4415807,18.2,3,FALSE
18p,BEO1_R6_PRE_SOIL,Utqiagvik,BEO1,pre,18,28168206,4.2252309,4.87,2,FALSE
19p,BEO1_R7_PRE_SOIL,Utqiagvik,BEO1,pre,19,16663076,2.4994614,3.14,5,FALSE
13,FL2C3_R5_POST_SOIL,FL,FL2C3,post,13,10573446,1.5860169,30.3,2,FALSE
10,FL1C4_R6_POST_SOIL,FL,FL1C4,post,10,7348902,1.1023353,37.9,1,FALSE
12p,FL1C4_R8_PRE_SOIL,FL,FL1C4,pre,12,1969410,0.2954115,43.6,1,FALSE
2,AT3_R6_POST_SOIL,CRREL,AT3,post,2,664324,0.0996486,19.8,7,FALSE
23p,BEO2B_R7_PRE_SOIL,Utqiagvik,BEO2B,pre,23,527798,0.0791697,11.6,6,FALSE
22,BEO2B_R6_POST_SOIL,Utqiagvik,BEO2B,post,22,325150,0.0487725,7.42,8,FALSE
1,AT3_R5_POST_SOIL,CRREL,AT3,post,1,58898,0.0088347,8.74,0,FALSE
20p,BEO1_R8_PRE_SOIL,Utqiagvik,BEO1,pre,20,37408,0.0056112,1.9,1,FALSE
