Genome	10p_S10_1.fastq Relative Abundance (%)	10p_S10_1.fastq Variance	10p_S10_1.fastq RPKM	10p_S10_1.fastq TPM	10_S36_1.fastq Relative Abundance (%)	10_S36_1.fastq Variance	10_S36_1.fastq RPKM	10_S36_1.fastq TPM	11p_S11_1.fastq Relative Abundance (%)	11p_S11_1.fastq Variance	11p_S11_1.fastq RPKM	11p_S11_1.fastq TPM	11_S37_1.fastq Relative Abundance (%)	11_S37_1.fastq Variance	11_S37_1.fastq RPKM	11_S37_1.fastq TPM	12p_S12_1.fastq Relative Abundance (%)	12p_S12_1.fastq Variance	12p_S12_1.fastq RPKM	12p_S12_1.fastq TPM	12_S38_1.fastq Relative Abundance (%)	12_S38_1.fastq Variance	12_S38_1.fastq RPKM	12_S38_1.fastq TPM	13p_S13_1.fastq Relative Abundance (%)	13p_S13_1.fastq Variance	13p_S13_1.fastq RPKM	13p_S13_1.fastq TPM	13_S39_1.fastq Relative Abundance (%)	13_S39_1.fastq Variance	13_S39_1.fastq RPKM	13_S39_1.fastq TPM	14p_S14_1.fastq Relative Abundance (%)	14p_S14_1.fastq Variance	14p_S14_1.fastq RPKM	14p_S14_1.fastq TPM	14_S40_1.fastq Relative Abundance (%)	14_S40_1.fastq Variance	14_S40_1.fastq RPKM	14_S40_1.fastq TPM	15p_S15_1.fastq Relative Abundance (%)	15p_S15_1.fastq Variance	15p_S15_1.fastq RPKM	15p_S15_1.fastq TPM	15_S41_1.fastq Relative Abundance (%)	15_S41_1.fastq Variance	15_S41_1.fastq RPKM	15_S41_1.fastq TPM	16p_S16_1.fastq Relative Abundance (%)	16p_S16_1.fastq Variance	16p_S16_1.fastq RPKM	16p_S16_1.fastq TPM	16_S42_1.fastq Relative Abundance (%)	16_S42_1.fastq Variance	16_S42_1.fastq RPKM	16_S42_1.fastq TPM	17p_S17_1.fastq Relative Abundance (%)	17p_S17_1.fastq Variance	17p_S17_1.fastq RPKM	17p_S17_1.fastq TPM	17_S43_1.fastq Relative Abundance (%)	17_S43_1.fastq Variance	17_S43_1.fastq RPKM	17_S43_1.fastq TPM	18p_S18_1.fastq Relative Abundance (%)	18p_S18_1.fastq Variance	18p_S18_1.fastq RPKM	18p_S18_1.fastq TPM	18_S44_1.fastq Relative Abundance (%)	18_S44_1.fastq Variance	18_S44_1.fastq RPKM	18_S44_1.fastq TPM	19p_S19_1.fastq Relative Abundance (%)	19p_S19_1.fastq Variance	19p_S19_1.fastq RPKM	19p_S19_1.fastq TPM	19_S45_1.fastq Relative Abundance (%)	19_S45_1.fastq Variance	19_S45_1.fastq RPKM	19_S45_1.fastq TPM	1p_S1_1.fastq Relative Abundance (%)	1p_S1_1.fastq Variance	1p_S1_1.fastq RPKM	1p_S1_1.fastq TPM	20_S46_1.fastq Relative Abundance (%)	20_S46_1.fastq Variance	20_S46_1.fastq RPKM	20_S46_1.fastq TPM	21p_S21_1.fastq Relative Abundance (%)	21p_S21_1.fastq Variance	21p_S21_1.fastq RPKM	21p_S21_1.fastq TPM	21_S47_1.fastq Relative Abundance (%)	21_S47_1.fastq Variance	21_S47_1.fastq RPKM	21_S47_1.fastq TPM	22p_S22_1.fastq Relative Abundance (%)	22p_S22_1.fastq Variance	22p_S22_1.fastq RPKM	22p_S22_1.fastq TPM	22_S48_1.fastq Relative Abundance (%)	22_S48_1.fastq Variance	22_S48_1.fastq RPKM	22_S48_1.fastq TPM	23p_S23_1.fastq Relative Abundance (%)	23p_S23_1.fastq Variance	23p_S23_1.fastq RPKM	23p_S23_1.fastq TPM	23_S49_1.fastq Relative Abundance (%)	23_S49_1.fastq Variance	23_S49_1.fastq RPKM	23_S49_1.fastq TPM	24p_S24_1.fastq Relative Abundance (%)	24p_S24_1.fastq Variance	24p_S24_1.fastq RPKM	24p_S24_1.fastq TPM	24_S50_1.fastq Relative Abundance (%)	24_S50_1.fastq Variance	24_S50_1.fastq RPKM	24_S50_1.fastq TPM	2p_S2_1.fastq Relative Abundance (%)	2p_S2_1.fastq Variance	2p_S2_1.fastq RPKM	2p_S2_1.fastq TPM	2_S28_1.fastq Relative Abundance (%)	2_S28_1.fastq Variance	2_S28_1.fastq RPKM	2_S28_1.fastq TPM	3p_S3_1.fastq Relative Abundance (%)	3p_S3_1.fastq Variance	3p_S3_1.fastq RPKM	3p_S3_1.fastq TPM	3_S29_1.fastq Relative Abundance (%)	3_S29_1.fastq Variance	3_S29_1.fastq RPKM	3_S29_1.fastq TPM	4p_S4_1.fastq Relative Abundance (%)	4p_S4_1.fastq Variance	4p_S4_1.fastq RPKM	4p_S4_1.fastq TPM	4_S30_1.fastq Relative Abundance (%)	4_S30_1.fastq Variance	4_S30_1.fastq RPKM	4_S30_1.fastq TPM	5p_S5_1.fastq Relative Abundance (%)	5p_S5_1.fastq Variance	5p_S5_1.fastq RPKM	5p_S5_1.fastq TPM	5_S31_1.fastq Relative Abundance (%)	5_S31_1.fastq Variance	5_S31_1.fastq RPKM	5_S31_1.fastq TPM	6p_S6_1.fastq Relative Abundance (%)	6p_S6_1.fastq Variance	6p_S6_1.fastq RPKM	6p_S6_1.fastq TPM	6_S32_1.fastq Relative Abundance (%)	6_S32_1.fastq Variance	6_S32_1.fastq RPKM	6_S32_1.fastq TPM	7p_S7_1.fastq Relative Abundance (%)	7p_S7_1.fastq Variance	7p_S7_1.fastq RPKM	7p_S7_1.fastq TPM	7_S33_1.fastq Relative Abundance (%)	7_S33_1.fastq Variance	7_S33_1.fastq RPKM	7_S33_1.fastq TPM	8p_S8_1.fastq Relative Abundance (%)	8p_S8_1.fastq Variance	8p_S8_1.fastq RPKM	8p_S8_1.fastq TPM	8_S34_1.fastq Relative Abundance (%)	8_S34_1.fastq Variance	8_S34_1.fastq RPKM	8_S34_1.fastq TPM	9p_S9_1.fastq Relative Abundance (%)	9p_S9_1.fastq Variance	9p_S9_1.fastq RPKM	9p_S9_1.fastq TPM	9_S35_1.fastq Relative Abundance (%)	9_S35_1.fastq Variance	9_S35_1.fastq RPKM	9_S35_1.fastq TPM
unmapped	92.723335	NA	NA	NA	86.5522	NA	NA	NA	55.120926	NA	NA	NA	68.25304	NA	NA	NA	100	NA	NA	NA	87.63519	NA	NA	NA	71.34202	NA	NA	NA	81.21507	NA	NA	NA	54.75716	NA	NA	NA	60.745384	NA	NA	NA	51.44375	NA	NA	NA	52.897938	NA	NA	NA	53.168167	NA	NA	NA	49.09279	NA	NA	NA	51.597416	NA	NA	NA	40.911472	NA	NA	NA	69.59621	NA	NA	NA	28.759443	NA	NA	NA	71.44562	NA	NA	NA	71.02341	NA	NA	NA	95.47251	NA	NA	NA	38.95431	NA	NA	NA	60.898483	NA	NA	NA	54.955627	NA	NA	NA	70.67306	NA	NA	NA	79.659546	NA	NA	NA	75.9211	NA	NA	NA	53.200745	NA	NA	NA	59.918606	NA	NA	NA	56.66393	NA	NA	NA	86.12467	NA	NA	NA	93.11676	NA	NA	NA	80.314766	NA	NA	NA	84.62098	NA	NA	NA	75.423004	NA	NA	NA	75.39096	NA	NA	NA	97.94776	NA	NA	NA	70.34508	NA	NA	NA	85.268295	NA	NA	NA	76.50704	NA	NA	NA	80.36209	NA	NA	NA	89.810356	NA	NA	NA	77.24584	NA	NA	NA	66.39613	NA	NA	NA	54.45028	NA	NA	NA	58.460014	NA	NA	NA
GCA_003141595.1_20120800_E2X_genomic	0	0	0	0	0	0	0	0	0.0063474644	14.053529	0.07259187	162.25363	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR10489814bin.19	0	0	0	0	0	0	0	0	0.023786344	78.59342	0.23930584	534.88403	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022473522	111.79699	0.21276057	504.0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017064767	31.936054	0.17369574	386.64462	0	0	0	0
SRR2902415rbin.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665647rbin.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020876683	363.12686	0.24849668	588.66266	0	0	0	0	0.080317676	879.8785	1.1973294	1935.0557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09414775	515.0843	1.9350078	4062.7969	0	0	0	0	0.07827721	32.693184	0.80663353	1625.7054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR10954970bin.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003158895.1_20120600_E1D_genomic	0	0	0	0	0	0	0	0	0.03830784	183.25871	0.41478443	927.10455	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04393792	25.491514	0.4423281	1055.8584	0	0	0	0	0.050636873	300.467	0.4647183	1104.1235	0	0	0	0	0.048960783	106.97307	0.47706103	1130.1077	0	0	0	0	0.08813101	188.47272	1.2662935	2046.512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07728948	55.319973	1.3939582	2926.793	0	0	0	0	0.0360619	1.4204596	0.34063372	686.51984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037853148	0.68634486	0.38552868	900.32227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05587848	195.46248	0.59774345	1330.5704	0	0	0	0
GCA_003166755.1_20110700_S1D_genomic	0	0	0	0	0	0	0	0	0.014253675	50.21228	0.17312078	386.9504	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013077553	37.775364	0.14111573	334.28833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR8554504rbin.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR12756227bin.3	0	0	0	0	0	0	0	0	0.2497652	781.77466	2.4048243	5375.137	0.117599994	58.151768	1.6531698	3688.2861	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13271417	40.282883	1.1927962	2847.2612	0	0	0	0	0.17869215	365.60013	1.4822222	3521.6099	0.06413362	0.56263304	0.4570427	1331.8368	0.09400244	51.688427	0.815616	1932.109	0.09011214	1.0251256	0.59968495	1725.9937	0.13208956	200.02968	1.7106514	2764.6572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0461056	12.293434	0.7968326	1673.0516	0	0	0	0	0.043790113	0.8671268	0.3850419	776.02124	0.58876544	1334.2849	7.8432484	14730.748	0.5132587	2.8246214	4.988692	11160.435	0.4702059	1921.5724	9.275366	15836.088	0	0	0	0	0.7776632	0.798076	20.17124	31919.752	0.19768064	2.8720067	1.7839508	4166.0483	0.43364418	649.7583	5.811842	10656.193	0.29416493	188.14398	2.6042666	6621.1226	0.08827413	0.36094213	3.4099789	6372.884	0	0	0	0	0.10846467	298.08643	2.666081	5424.796	0	0	0	0	0.09588858	42.849663	1.7260618	3804.1565	0.108670905	114.905846	1.9656293	4335.363	0	0	0	0	0.059959933	58.72268	0.85119605	2009.7566	0.14502503	671.283	5.580924	9880.169	0.1276024	0.9674059	2.6081347	5348.1494	0.17065251	2771.0266	4.374	8414.967	0	0	0	0	0.13042606	3.16331	2.5584395	5538.5215	0.09441469	75.588425	1.3022105	2789.2493	0.27882126	534.6785	2.6663966	5935.3677	0.10549442	0.80206305	1.0443541	2479.277
