user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
104_merged	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Lacisediminihabitans;s__	N/A	N/A	N/A	N/A	N/A	GCF_008040105.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Lacisediminihabitans;s__Lacisediminihabitans profunda	91.42	0.82	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Lacisediminihabitans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003454135.1, s__Lacisediminihabitans sp003454135, 95.0, 84.61, 0.64; GCF_014217685.1, s__Lacisediminihabitans sp014217685, 95.0, 80.47, 0.55; GCF_016634425.1, s__Lacisediminihabitans sp016634425, 95.0, 79.73, 0.43; GCF_015751965.1, s__Lacisediminihabitans sp015751965, 95.0, 78.92, 0.36	60.44	11	0.9942789136856375	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
11p_S11_bin.20	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	N/A	N/A	N/A	N/A	N/A	GCA_017882985.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp017882985	94.57	0.58	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003133665.1, s__RAAP-2 sp003133665, 95.0, 80.44, 0.54; GCA_003132165.1, s__RAAP-2 sp003132165, 95.0, 78.95, 0.34; GCA_017883045.1, s__RAAP-2 sp017883045, 95.0, 78.94, 0.47; GCA_003138815.1, s__RAAP-2 sp003138815, 95.0, 78.93, 0.47; GCA_903854175.1, s__RAAP-2 sp903854175, 95.0, 78.85, 0.01; GCA_018971185.1, s__RAAP-2 sp018971185, 95.0, 78.8, 0.29; GCA_003132205.1, s__RAAP-2 sp003132205, 95.0, 78.77, 0.43; GCA_903860745.1, s__RAAP-2 sp903860745, 95.0, 78.7, 0.3; GCA_003141095.1, s__RAAP-2 sp003141095, 95.0, 78.6, 0.33; GCA_009726065.1, s__RAAP-2 sp009726065, 95.0, 78.52, 0.05; GCA_903828785.1, s__RAAP-2 sp903828785, 95.0, 78.41, 0.08; GCA_003160115.1, s__RAAP-2 sp003160115, 95.0, 78.4, 0.3; GCA_003158855.1, s__RAAP-2 sp003158855, 95.0, 78.27, 0.42; GCA_003133685.1, s__RAAP-2 sp003133685, 95.0, 78.23, 0.32; GCA_003133125.1, s__RAAP-2 sp003133125, 95.0, 78.22, 0.32; GCA_903830745.1, s__RAAP-2 sp903830745, 95.0, 78.19, 0.06; GCA_003170315.1, s__RAAP-2 sp003170315, 95.0, 78.17, 0.4; GCA_003155915.1, s__RAAP-2 sp003155915, 95.0, 78.17, 0.37; GCA_903970515.1, s__RAAP-2 sp903970515, 95.0, 78.15, 0.24; GCA_013044405.1, s__RAAP-2 sp013044405, 95.0, 78.15, 0.25; GCA_903893745.1, s__RAAP-2 sp903893745, 95.0, 78.1, 0.17; GCA_002255565.1, s__RAAP-2 sp002255565, 95.0, 78.06, 0.28; GCA_003167415.1, s__RAAP-2 sp003167415, 95.0, 78.06, 0.38; GCA_003133405.1, s__RAAP-2 sp003133405, 95.0, 78.03, 0.31; GCA_903825765.1, s__RAAP-2 sp903825765, 95.0, 78.01, 0.14; GCA_003162475.1, s__RAAP-2 sp003162475, 95.0, 78.0, 0.36; GCA_003136495.1, s__RAAP-2 sp003136495, 95.0, 77.95, 0.3; GCA_003151555.1, s__RAAP-2 sp003151555, 95.0, 77.94, 0.28; GCA_003163875.1, s__RAAP-2 sp003163875, 95.0, 77.94, 0.17; GCA_009701115.1, s__RAAP-2 sp009701115, 95.0, 77.9, 0.06; GCA_003152215.1, s__RAAP-2 sp003152215, 95.0, 77.88, 0.26; GCA_003168075.1, s__RAAP-2 sp003168075, 95.0, 77.87, 0.24; GCA_003132305.1, s__RAAP-2 sp003132305, 95.0, 77.86, 0.32; GCA_003152555.1, s__RAAP-2 sp003152555, 95.0, 77.84, 0.26; GCA_903871335.1, s__RAAP-2 sp903871335, 95.0, 77.84, 0.13; GCA_903885505.1, s__RAAP-2 sp903885505, 95.0, 77.8, 0.08; GCA_001443545.1, s__RAAP-2 sp001443545, 95.0, 77.75, 0.29; GCA_003136415.1, s__RAAP-2 sp003136415, 95.0, 77.71, 0.27; GCA_903825035.1, s__RAAP-2 sp903825035, 95.0, 77.69, 0.06; GCA_013044265.1, s__RAAP-2 sp013044265, 95.0, 77.68, 0.15; GCA_903924205.1, s__RAAP-2 sp903924205, 95.0, 77.62, 0.07; GCA_002255315.1, s__RAAP-2 sp002255315, 95.0, 77.61, 0.1; GCA_003133075.1, s__RAAP-2 sp003133075, 95.0, 77.59, 0.23; GCA_003141815.1, s__RAAP-2 sp003141815, 95.0, 77.54, 0.31; GCA_903830655.1, s__RAAP-2 sp903830655, 95.0, 77.53, 0.07; GCA_903873775.1, s__RAAP-2 sp903873775, 95.0, 77.45, 0.15; GCA_003131665.1, s__RAAP-2 sp003131665, 95.0, 77.41, 0.22; GCA_018970215.1, s__RAAP-2 sp018970215, 95.0, 77.36, 0.08; GCA_003133005.1, s__RAAP-2 sp003133005, 95.0, 77.31, 0.16; GCA_003134515.1, s__RAAP-2 sp003134515, 95.0, 77.28, 0.26; GCA_003142095.1, s__RAAP-2 sp003142095, 95.0, 77.11, 0.25; GCA_903860915.1, s__RAAP-2 sp903860915, 95.0, 77.07, 0.1; GCA_903826715.1, s__RAAP-2 sp903826715, 95.0, 76.93, 0.06; GCA_013044285.1, s__RAAP-2 sp013044285, 95.0, 76.9, 0.12; GCA_003138895.1, s__RAAP-2 sp003138895, 95.0, 76.81, 0.06; GCA_903848885.1, s__RAAP-2 sp903848885, 95.0, 76.8, 0.09; GCA_018971385.1, s__RAAP-2 sp018971385, 95.0, 76.76, 0.15; GCA_903832015.1, s__RAAP-2 sp903832015, 95.0, 74.58, 0.01	22.46	11	0.9975049965382841	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
11p_S11_bin.24	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__PALSA-660;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__PALSA-660;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	21.6	11	0.7370574810094926	N/A
11p_S11_bin.29	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__PALSA-660;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__PALSA-660;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	19.32	11	0.7377776595528771	N/A
11p_S11_bin.30	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__JAFMJV01;s__	N/A	N/A	N/A	N/A	N/A	GCA_017853275.1	95.0	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__JAFMJV01;s__JAFMJV01 sp017853275	76.66	0.18	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__JAFMJV01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	41.7	11	0.8683510236950297	N/A
11p_S11_bin.32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__FEN-979 sp017882335	GCA_017882335.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__FEN-979 sp017882335	96.06	0.84	GCA_017882335.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__FEN-979 sp017882335	96.06	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003142515.1, s__FEN-979 sp003142515, 95.0, 85.89, 0.65; GCA_903915465.1, s__FEN-979 sp903915465, 95.0, 77.95, 0.07; GCA_903929315.1, s__FEN-979 sp903929315, 95.0, 76.85, 0.07	25.73	11	N/A	N/A
11p_S11_bin.40	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Palsa-1439;f__Palsa-1439;g__CAIKBP01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903825695.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Palsa-1439;f__Palsa-1439;g__CAIKBP01;s__CAIKBP01 sp903825695	80.62	0.32	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Palsa-1439;f__Palsa-1439;g__CAIKBP01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	28.36	11	0.9525889736507387	N/A
11p_S11_bin.46	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	N/A	N/A	N/A	N/A	N/A	GCA_903903205.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__UBA5619 sp903903205	86.29	0.56	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001873745.1, s__UBA5619 sp001873745, 95.0, 92.41, 0.8; GCA_018896355.1, s__UBA5619 sp018896355, 95.0, 92.02, 0.75; GCA_003141195.1, s__UBA5619 sp003141195, 95.0, 86.83, 0.75; GCA_002423465.1, s__UBA5619 sp002423465, 95.0, 83.12, 0.67; GCA_016935075.1, s__UBA5619 sp016935075, 95.0, 82.15, 0.59; GCA_018819165.1, s__UBA5619 sp018819165, 95.0, 81.67, 0.49; GCA_002424545.1, s__UBA5619 sp002424545, 95.0, 81.37, 0.55; GCA_001830835.1, s__UBA5619 sp001830835, 95.0, 81.25, 0.61; GCA_018827585.1, s__UBA5619 sp018827585, 95.0, 80.77, 0.64; GCA_013824905.1, s__UBA5619 sp013824905, 95.0, 79.84, 0.48; GCA_001829875.1, s__UBA5619 sp001829875, 95.0, 79.41, 0.34; GCA_903928915.1, s__UBA5619 sp903928915, 95.0, 79.15, 0.62	55.54	11	0.9619588391149596	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
11p_S11_bin.50	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Palsa-1439;f__Palsa-1439;g__CAIKBP01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903825695.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Palsa-1439;f__Palsa-1439;g__CAIKBP01;s__CAIKBP01 sp903825695	80.73	0.45	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Palsa-1439;f__Palsa-1439;g__CAIKBP01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	30.64	11	0.9464383623736156	N/A
11p_S11_bin.55	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003171215.1, s__Fen-1231 sp003171215, 95.0, 83.86, 0.81; GCA_017881585.1, s__Fen-1231 sp017881585, 95.0, 83.77, 0.74; GCA_903910555.1, s__Fen-1231 sp903910555, 95.0, 79.32, 0.56; GCA_016194585.1, s__Fen-1231 sp016194585, 95.0, 78.24, 0.4; GCA_903882745.1, s__Fen-1231 sp903882745, 95.0, 77.7, 0.2; GCA_903876745.1, s__Fen-1231 sp903876745, 95.0, 77.51, 0.27; GCA_016874035.1, s__Fen-1231 sp016874035, 95.0, 76.97, 0.22; GCA_014192065.1, s__Fen-1231 sp014192065, 95.0, 76.68, 0.2	25.6	11	0.9814952193549202	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
