user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
11_S37_bin.1	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.2%)
11_S37_bin.2	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.3%)
11_S37_bin.3	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.6%)
11_S37_bin.4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003700275.1, s__Pseudomonas_E cichorii_B, 95.0, 83.05, 0.63; GCF_902497875.1, s__Pseudomonas_E fluorescens_BR, 95.0, 82.83, 0.61; GCF_000737245.1, s__Pseudomonas_E syringae_J, 95.0, 82.55, 0.63; GCF_000444135.1, s__Pseudomonas_E avellanae, 95.0, 82.52, 0.59; GCF_001698815.1, s__Pseudomonas_E syringae_A, 95.0, 82.47, 0.8; GCF_900100365.1, s__Pseudomonas_E cannabina, 95.0, 82.45, 0.61; GCF_900100795.1, s__Pseudomonas_E abietaniphila, 95.0, 82.43, 0.68; GCF_001874645.1, s__Pseudomonas_E frederiksbergensis_B, 95.0, 82.43, 0.66; GCF_000820515.1, s__Pseudomonas_E batumici, 95.0, 82.41, 0.66; GCF_003732225.1, s__Pseudomonas_E brassicacearum_E, 95.0, 82.41, 0.78; GCF_000416235.1, s__Pseudomonas_E sp000416235, 95.0, 82.39, 0.8; GCF_902497895.1, s__Pseudomonas_E fluorescens_BP, 95.0, 82.36, 0.73; GCF_007713465.1, s__Pseudomonas_E sp007713465, 95.0, 82.34, 0.68; GCF_017165745.1, s__Pseudomonas_E capsici, 95.0, 82.33, 0.61; GCF_002087235.1, s__Pseudomonas_E floridensis, 95.0, 82.32, 0.71; GCF_902498065.1, s__Pseudomonas_E fluorescens_BJ, 95.0, 82.3, 0.73; GCF_003731765.1, s__Pseudomonas_E chlororaphis_G, 95.0, 82.25, 0.71; GCF_014236655.1, s__Pseudomonas_E kielensis, 95.0, 82.25, 0.61; GCF_018502625.1, s__Pseudomonas_E fluorescens_BW, 95.0, 82.21, 0.68; GCF_003732275.1, s__Pseudomonas_E frederiksbergensis_H, 95.0, 82.2, 0.71; GCF_002699985.1, s__Pseudomonas_E sp002699985, 95.0, 82.19, 0.66; GCF_002158995.1, s__Pseudomonas_E caspiana, 95.0, 82.19, 0.61; GCF_007858285.1, s__Pseudomonas_E brenneri, 95.0, 82.18, 0.66; GCF_900602065.1, s__Pseudomonas_E sp900602065, 95.0, 82.16, 0.63; GCF_009176725.1, s__Pseudomonas_E syringae_M, 95.0874, 82.15, 0.63; GCF_904067045.1, s__Pseudomonas_E sp904067045, 95.0, 82.07, 0.61; GCF_900106065.1, s__Pseudomonas_E mandelii, 95.0, 82.06, 0.63; GCF_900601905.1, s__Pseudomonas_E sp900601905, 95.0, 82.05, 0.63; GCF_002723575.1, s__Pseudomonas_E viridiflava_B, 95.0, 82.05, 0.63; GCF_000282495.1, s__Pseudomonas_E sp000282495, 95.0, 82.04, 0.66; GCF_000282195.1, s__Pseudomonas_E sp000282195, 95.0, 82.01, 0.73; GCF_900143095.1, s__Pseudomonas_E asturiensis, 95.0, 81.96, 0.63; GCF_900074915.1, s__Pseudomonas_E cerasi, 95.0, 81.96, 0.63; GCF_900110765.1, s__Pseudomonas_E sp900110765, 95.0, 81.96, 0.71; GCF_900187445.1, s__Pseudomonas_E sp900187445, 95.0, 81.94, 0.68; GCF_001238485.1, s__Pseudomonas_E syringae_E, 95.0, 81.92, 0.71; GCF_014357575.1, s__Pseudomonas_E foliumensis, 95.0, 81.92, 0.68; GCF_900108875.1, s__Pseudomonas_E sp900108875, 95.0, 81.9, 0.63; GCF_015461845.1, s__Pseudomonas_E mucoides, 95.0, 81.9, 0.68; GCF_000282415.1, s__Pseudomonas_E sp000282415, 95.0, 81.88, 0.76; GCF_003151075.1, s__Pseudomonas_E sp003151075, 95.0, 81.83, 0.73; GCF_002699855.1, s__Pseudomonas_E amygdali, 95.0, 81.83, 0.63; GCF_003702045.1, s__Pseudomonas_E viridiflava_C, 95.0, 81.81, 0.66; GCF_018343775.1, s__Pseudomonas_E cichorii, 95.0, 81.77, 0.66; GCF_001642795.1, s__Pseudomonas_E viridiflava, 95.0, 81.77, 0.66; GCF_900590755.1, s__Pseudomonas_E sp900590755, 95.0, 81.76, 0.73; GCF_004364335.1, s__Pseudomonas_E graminis_D, 95.0, 81.75, 0.76; GCF_001466965.1, s__Pseudomonas_E syringae_Q, 95.0, 81.74, 0.61; GCF_900581005.1, s__Pseudomonas_E sp900581005, 95.0, 81.73, 0.71; GCF_018968705.1, s__Pseudomonas_E cichorii_C, 95.0, 81.72, 0.71; GCF_001401155.1, s__Pseudomonas_E tremae, 95.0, 81.71, 0.59; GCF_013385635.1, s__Pseudomonas_E gingeri_A, 95.0, 81.71, 0.68; GCF_002018875.1, s__Pseudomonas_E sp002018875, 95.0, 81.7, 0.73; GCF_014358015.1, s__Pseudomonas_E triticumensis, 95.0, 81.69, 0.68; GCF_001655615.1, s__Pseudomonas_E sp001655615, 95.0, 81.69, 0.76; GCF_013385425.1, s__Pseudomonas_E gingeri_D, 95.0, 81.69, 0.76; GCF_900103225.1, s__Pseudomonas_E congelans, 95.0, 81.68, 0.66; GCF_009905615.1, s__Pseudomonas_E sp009905615, 95.0, 81.68, 0.63; GCF_000452705.1, s__Pseudomonas_E syringae_F, 95.0, 81.67, 0.61; GCF_900106045.1, s__Pseudomonas_E mucidolens, 95.0, 81.67, 0.63; GCF_009834545.1, s__Pseudomonas_E sp900187635, 95.0, 81.67, 0.66; GCF_002093745.1, s__Pseudomonas_E graminis_C, 95.0, 81.65, 0.63; GCF_013201545.1, s__Pseudomonas_E sp900585815, 95.0, 81.63, 0.61; GCF_000282215.1, s__Pseudomonas_E sp000282215, 95.0, 81.63, 0.71; GCF_001293775.1, s__Pseudomonas_E syringae_P, 95.0, 81.62, 0.63; GCF_000507185.2, s__Pseudomonas_E syringae, 95.0874, 81.61, 0.63; GCF_000512695.2, s__Pseudomonas_E sp000512695, 95.0, 81.57, 0.68; GCF_014842265.1, s__Pseudomonas_E sp014842265, 95.0, 81.56, 0.66; GCF_001307155.1, s__Pseudomonas_E fluorescens_E, 95.0, 81.53, 0.8; GCA_002338065.1, s__Pseudomonas_E sp002338065, 95.0, 81.52, 0.56; GCF_004011535.1, s__Pseudomonas_E asplenii_A, 95.0, 81.4, 0.73; GCF_002814235.1, s__Pseudomonas_E sp002814235, 95.0, 81.38, 0.76; GCF_015471405.1, s__Pseudomonas_E cichorii_D, 95.0, 81.37, 0.68; GCF_013386115.1, s__Pseudomonas_E gingeri_B, 95.0, 81.36, 0.73; GCF_001042905.1, s__Pseudomonas_E lini, 95.0, 81.35, 0.76; GCF_003935425.1, s__Pseudomonas_E sp003935425, 95.0, 81.35, 0.59; GCA_900475325.1, s__Pseudomonas_E sp900475325, 95.0, 81.35, 0.73; GCF_900111735.1, s__Pseudomonas_E graminis, 95.0, 81.3, 0.71; GCF_900585905.1, s__Pseudomonas_E sp900585905, 95.0, 81.27, 0.61; GCF_003732485.1, s__Pseudomonas_E protegens_B, 95.0, 81.26, 0.76; GCF_002934685.1, s__Pseudomonas_E bohemica, 95.0, 81.25, 0.73; GCF_000282375.1, s__Pseudomonas_E sp000282375, 95.0, 81.25, 0.76; GCF_900187645.1, s__Pseudomonas_E sp900187645, 95.0, 81.2, 0.71; GCF_009908285.1, s__Pseudomonas_E sp009908285, 95.0, 81.17, 0.71; GCF_013386165.1, s__Pseudomonas_E gingeri_C, 95.0, 81.17, 0.78; GCF_003605735.1, s__Pseudomonas_E sp003605735, 95.0, 81.17, 0.68; GCF_009707515.1, s__Pseudomonas_E sp009707515, 95.0, 81.17, 0.61; GCF_900187505.1, s__Pseudomonas_E sp900187505, 95.0, 81.11, 0.78; GCF_001400735.1, s__Pseudomonas_E caricapapayae, 95.0, 81.05, 0.66; GCF_001705435.1, s__Pseudomonas_E graminis_B, 95.0, 80.96, 0.78; GCF_014268655.2, s__Pseudomonas_E sp014268655, 95.0, 80.9, 0.59; GCF_002080045.1, s__Pseudomonas_E sp002080045, 95.0, 80.84, 0.76; GCF_004364435.1, s__Pseudomonas_E sp004364435, 95.0, 80.84, 0.63; GCF_000829415.1, s__Pseudomonas_E sp000829415, 95.0, 80.79, 0.56; GCA_000759445.1, s__Pseudomonas_E lutea, 95.0, 80.64, 0.63; GCA_002419965.1, s__Pseudomonas_E sp002419965, 95.0, 80.33, 0.61; GCF_003052515.2, s__Pseudomonas_E sp003052515, 95.0, 80.19, 0.63; GCF_900589395.1, s__Pseudomonas_E sp900589395, 95.0, 80.07, 0.68; GCF_900109755.1, s__Pseudomonas_E agarici, 95.0, 80.06, 0.63; GCF_003131185.1, s__Pseudomonas_E ovata, 95.0, 79.88, 0.66	11.28	11	0.9797308760557755	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
11p_S11_bin.1	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	10.58	11	0.7768506435059228	Genome domain questionable ( 12.5% Bacterial, 3.8% Archaeal)
11p_S11_bin.10	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Bog-756 sp003152015	GCA_003152015.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Bog-756 sp003152015	98.85	0.93	GCA_003152015.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Bog-756 sp003152015	98.85	0.93	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003133325.1, s__Bog-756 sp003133325, 95.0, 94.36, 0.88; GCA_017883075.1, s__Bog-756 sp017883075, 95.0, 93.66, 0.77; GCA_903873395.1, s__Bog-756 sp903873395, 95.0, 79.02, 0.13; GCA_015478655.1, s__Bog-756 sp015478655, 95.0, 78.7, 0.32; GCA_017883105.1, s__Bog-756 sp017883105, 95.0, 78.31, 0.22; GCA_003138855.1, s__Bog-756 sp003138855, 95.0, 78.28, 0.35; GCA_003157945.1, s__Bog-756 sp003157945, 95.0, 78.24, 0.15; GCA_903894295.1, s__Bog-756 sp903894295, 95.0, 78.08, 0.23; GCA_003164275.1, s__Bog-756 sp003164275, 95.0, 77.91, 0.22; GCA_017883065.1, s__Bog-756 sp017883065, 95.0, 77.83, 0.35; GCA_903906055.1, s__Bog-756 sp903906055, 95.0, 77.75, 0.22; GCA_003153575.1, s__Bog-756 sp003153575, 95.0, 77.71, 0.18; GCA_017883025.1, s__Bog-756 sp017883025, 95.0, 77.37, 0.22; GCA_017883135.1, s__Bog-756 sp017883135, 95.0, 77.03, 0.32; GCA_003164095.1, s__Bog-756 sp003164095, 95.0, 76.88, 0.25; GCA_903849265.1, s__Bog-756 sp903849265, 95.0, 76.54, 0.18	10.27	11	N/A	Genome domain questionable ( 10.8% Bacterial, 1.9% Archaeal)
11p_S11_bin.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ginsengibacter;s__Ginsengibacter sp017882215	GCA_017882215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ginsengibacter;s__Ginsengibacter sp017882215	98.86	0.84	GCA_017882215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ginsengibacter;s__Ginsengibacter sp017882215	98.86	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ginsengibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002050465.1, s__Ginsengibacter sp002050465, 95.0, 80.56, 0.49; GCA_017882205.1, s__Ginsengibacter sp017882205, 95.0, 78.19, 0.18; GCA_013694745.1, s__Ginsengibacter sp013694745, 95.0, 77.04, 0.24; GCF_008710285.1, s__Ginsengibacter hankyongi, 95.0, 76.89, 0.24; GCA_017307735.1, s__Ginsengibacter sp017307735, 95.0, 76.43, 0.06; GCA_003132765.1, s__Ginsengibacter sp003132765, 95.0, 76.25, 0.09; GCF_003721595.1, s__Ginsengibacter sp003721595, 95.0, 76.19, 0.13; GCA_018268075.1, s__Ginsengibacter sp018268075, 95.0, 76.05, 0.11	35.86	11	N/A	N/A
11p_S11_bin.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ginsengibacter;s__Ginsengibacter sp017882215	GCA_017882215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ginsengibacter;s__Ginsengibacter sp017882215	99.05	0.83	GCA_017882215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ginsengibacter;s__Ginsengibacter sp017882215	99.05	0.83	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ginsengibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002050465.1, s__Ginsengibacter sp002050465, 95.0, 81.04, 0.5; GCA_017882205.1, s__Ginsengibacter sp017882205, 95.0, 78.97, 0.22; GCA_013694745.1, s__Ginsengibacter sp013694745, 95.0, 77.43, 0.25; GCA_017307735.1, s__Ginsengibacter sp017307735, 95.0, 77.31, 0.04; GCF_008710285.1, s__Ginsengibacter hankyongi, 95.0, 77.16, 0.25; GCA_003132765.1, s__Ginsengibacter sp003132765, 95.0, 76.65, 0.12; GCA_018268075.1, s__Ginsengibacter sp018268075, 95.0, 75.99, 0.09; GCF_003721595.1, s__Ginsengibacter sp003721595, 95.0, 75.91, 0.13	25.62	11	N/A	N/A
11p_S11_bin.13	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__FEN-299 sp017883185	GCA_017883185.1	95.0	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__FEN-299 sp017883185	99.12	0.86	GCA_017883185.1	95.0	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__FEN-299 sp017883185	99.12	0.86	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003157675.1, s__FEN-299 sp003157675, 95.0, 79.23, 0.36	39.08	11	N/A	N/A
11p_S11_bin.15	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__	N/A	N/A	N/A	N/A	N/A	GCA_014377705.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__UBA4719 sp014377705	82.56	0.72	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002404345.1, s__UBA4719 sp002404345, 95.0, 83.53, 0.68; GCA_003157445.1, s__UBA4719 sp003157445, 95.0, 82.17, 0.59; GCA_012927555.1, s__UBA4719 sp012927555, 95.0, 81.44, 0.63; GCA_003132125.1, s__UBA4719 sp003132125, 95.0, 81.33, 0.59	40.81	11	0.9661758507223525	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
