Genome Name,Study,Sample Name,Assembler,Genome Size,N50,# Contigs,Completeness,Contamination,Strain Heterogeneity,SGB ID
AsnicarF_2017__MV_FEI1_t1Q14__bin.10,AsnicarF_2017,MV_FEI1_t1Q14,metaSPAdes,2013732,6532,403,84.64669739,1.651305684,1.4587145,17248
AsnicarF_2017__MV_FEI1_t1Q14__bin.2,AsnicarF_2017,MV_FEI1_t1Q14,metaSPAdes,1849520,3104,616,64.74658869,0.877192982,0.1977117,4584
AsnicarF_2017__MV_FEI1_t1Q14__bin.4,AsnicarF_2017,MV_FEI1_t1Q14,metaSPAdes,1962642,40866,87,93.89400922,0.937019969,0.4035487,17256
AsnicarF_2017__MV_FEI1_t1Q14__bin.6,AsnicarF_2017,MV_FEI1_t1Q14,metaSPAdes,2550005,18894,197,97.75280899,0.101831236,0.1710391,7962
AsnicarF_2017__MV_FEI1_t1Q14__bin.8,AsnicarF_2017,MV_FEI1_t1Q14,metaSPAdes,4685619,261276,31,95.68287037,0.037202381,0.4555542,10068
AsnicarF_2017__MV_FEI1_t1Q14__bin.9,AsnicarF_2017,MV_FEI1_t1Q14,metaSPAdes,3331471,109740,46,78.85676493,0.334821429,0.1323231,10141
AsnicarF_2017__MV_FEI2_t1Q14__bin.3,AsnicarF_2017,MV_FEI2_t1Q14,metaSPAdes,1809890,29584,102,84.75422427,1.382488479,0.7910199,17256
AsnicarF_2017__MV_FEI2_t1Q14__bin.9,AsnicarF_2017,MV_FEI2_t1Q14,metaSPAdes,1376803,156688,14,77.5862069,0,0.0057,6923
AsnicarF_2017__MV_FEI3_t1Q14__bin.1,AsnicarF_2017,MV_FEI3_t1Q14,metaSPAdes,1374755,3632,415,58.82470192,0.403225806,0.5119553,17249
AsnicarF_2017__MV_FEI3_t1Q14__bin.3,AsnicarF_2017,MV_FEI3_t1Q14,metaSPAdes,4556033,32566,247,50.86206897,0,0.6130528,10083
AsnicarF_2017__MV_FEI3_t1Q14__bin.4,AsnicarF_2017,MV_FEI3_t1Q14,metaSPAdes,2824450,71074,67,99.62546816,0,0.026986,7962
AsnicarF_2017__MV_FEI3_t1Q14__bin.6,AsnicarF_2017,MV_FEI3_t1Q14,metaSPAdes,3565399,89378,63,77.5862069,0,0.0313853,10068
AsnicarF_2017__MV_FEI4_t1Q14__bin.1,AsnicarF_2017,MV_FEI4_t1Q14,metaSPAdes,1572509,4957,370,87.30538922,0.199600798,0.0455994,6939
AsnicarF_2017__MV_FEI4_t1Q14__bin.2,AsnicarF_2017,MV_FEI4_t1Q14,metaSPAdes,2166135,55961,66,99.76958525,0.460829493,0.1592969,17247
AsnicarF_2017__MV_FEI4_t1Q14__bin.3,AsnicarF_2017,MV_FEI4_t1Q14,metaSPAdes,1351219,4495,342,75.23214286,0.372881356,0.0692032,8065
AsnicarF_2017__MV_FEI4_t1Q14__bin.4,AsnicarF_2017,MV_FEI4_t1Q14,metaSPAdes,4591752,58724,125,95.50960735,0.908521303,0.0282685,1814
AsnicarF_2017__MV_FEI4_t1Q14__bin.5,AsnicarF_2017,MV_FEI4_t1Q14,metaSPAdes,4642432,88083,88,99.07407407,0.78125,0.0157215,10068
AsnicarF_2017__MV_FEI4_t2Q15__bin.10,AsnicarF_2017,MV_FEI4_t2Q15,metaSPAdes,3145494,90833,55,55.92105263,0,0.0342976,1814
AsnicarF_2017__MV_FEI4_t2Q15__bin.2,AsnicarF_2017,MV_FEI4_t2Q15,metaSPAdes,2899068,66234,78,99.45652174,0,0.0611121,7144
AsnicarF_2017__MV_FEI4_t2Q15__bin.3,AsnicarF_2017,MV_FEI4_t2Q15,metaSPAdes,2205803,176487,35,99.25755248,0.921658986,0.6114928,17256
AsnicarF_2017__MV_FEI4_t2Q15__bin.5,AsnicarF_2017,MV_FEI4_t2Q15,metaSPAdes,1963554,86665,41,99.38271605,0,0.0192768,7168
AsnicarF_2017__MV_FEI4_t2Q15__bin.6,AsnicarF_2017,MV_FEI4_t2Q15,metaSPAdes,4569681,13165,496,95.86080138,2.568692881,0.1952897,10068
AsnicarF_2017__MV_FEI4_t2Q15__bin.8,AsnicarF_2017,MV_FEI4_t2Q15,metaSPAdes,1576036,23678,104,99.10179641,0,0.0273901,5868
AsnicarF_2017__MV_FEI4_t2Q15__bin.9,AsnicarF_2017,MV_FEI4_t2Q15,metaSPAdes,3238253,22059,259,96.13207547,0.880503145,0.0407223,7952
AsnicarF_2017__MV_FEI5_t1Q14__bin.11,AsnicarF_2017,MV_FEI5_t1Q14,metaSPAdes,1855481,296860,9,81.10599078,0,0.0190466,17247
AsnicarF_2017__MV_FEI5_t1Q14__bin.12,AsnicarF_2017,MV_FEI5_t1Q14,metaSPAdes,1823447,74971,36,91.61676647,0,0.0282405,6939
AsnicarF_2017__MV_FEI5_t1Q14__bin.14,AsnicarF_2017,MV_FEI5_t1Q14,metaSPAdes,2135293,31860,87,98.1042654,0.750394945,0.0424109,15480
AsnicarF_2017__MV_FEI5_t1Q14__bin.2,AsnicarF_2017,MV_FEI5_t1Q14,metaSPAdes,820395,2650,311,53.10802564,0.387596899,0.2578546,7038
AsnicarF_2017__MV_FEI5_t1Q14__bin.5,AsnicarF_2017,MV_FEI5_t1Q14,metaSPAdes,2202452,7304,404,89.3206951,1.421800948,0.1779459,15868
AsnicarF_2017__MV_FEI5_t1Q14__bin.6,AsnicarF_2017,MV_FEI5_t1Q14,metaSPAdes,2544290,17802,207,99.25093633,0.374531835,0.0286806,7967
AsnicarF_2017__MV_FEI5_t1Q14__bin.7,AsnicarF_2017,MV_FEI5_t1Q14,metaSPAdes,3012782,4596,769,89.3081761,0.943396226,0.0970379,6744
AsnicarF_2017__MV_FEI5_t1Q14__bin.9,AsnicarF_2017,MV_FEI5_t1Q14,metaSPAdes,2684538,8551,417,93.15705128,1.442307692,0.2025329,2301
AsnicarF_2017__MV_FEI5_t2Q14__bin.2,AsnicarF_2017,MV_FEI5_t2Q14,metaSPAdes,2650859,86162,66,100,0,0.1583418,9262
AsnicarF_2017__MV_FEI5_t2Q14__bin.3,AsnicarF_2017,MV_FEI5_t2Q14,metaSPAdes,2888406,44807,94,95.09359903,0.483091787,0.2990339,4936
AsnicarF_2017__MV_FEI5_t2Q14__bin.4,AsnicarF_2017,MV_FEI5_t2Q14,metaSPAdes,1555250,3316,498,51.59489633,0,0.2642539,5089
AsnicarF_2017__MV_FEI5_t3Q15__bin.1,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,2514126,9424,362,97.18120805,1.761744966,0.2529609,4540
AsnicarF_2017__MV_FEI5_t3Q15__bin.10,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,1369137,14270,144,50,1.724137931,1.5221418,17247
AsnicarF_2017__MV_FEI5_t3Q15__bin.12,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,2462480,16070,243,75.87662338,3.571428571,1.1055995,15333
AsnicarF_2017__MV_FEI5_t3Q15__bin.13,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,2743595,17357,221,97.20464135,1.054852321,0.2385535,4874
AsnicarF_2017__MV_FEI5_t3Q15__bin.14,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,2256365,5380,510,64.97099156,2.905638665,1.0693268,4828
AsnicarF_2017__MV_FEI5_t3Q15__bin.15,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,1505493,19714,128,71.86489899,2.818181818,1.244122,17244
AsnicarF_2017__MV_FEI5_t3Q15__bin.16,AsnicarF_2017,MV_FEI5_t3Q15,metaSPAdes,1863695,20235,151,70.68965517,1.724137931,1.7094683,17237
