Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
11p_S11_bin.13	44.74	1.91	Gradient Boost (General Model)	11	0.891	13254	317.4855743059336	1958441	0.67	1837	None
11p_S11_bin.24	22.3	0.03	Neural Network (Specific Model)	11	0.926	6159	257.30103092783503	403448	0.69	485	None
11p_S11_bin.32	32.68	1.12	Neural Network (Specific Model)	11	0.914	3764	292.69169960474306	969535	0.45	1012	None
11p_S11_bin.50	26.84	0.0	Neural Network (Specific Model)	11	0.891	6848	273.71800947867297	776508	0.58	844	None
11p_S11_bin.55	21.23	0.0	Neural Network (Specific Model)	11	0.928	5478	294.14570230607967	905239	0.67	954	None
11p_S11_bin.70	42.54	1.02	Neural Network (Specific Model)	11	0.876	6175	265.7328660436137	1164819	0.55	1284	None
11p_S11_bin.80	45.91	1.61	Neural Network (Specific Model)	11	0.919	6454	277.99666825321276	1902885	0.67	2101	None
11p_S11_bin.82	41.87	1.23	Gradient Boost (General Model)	11	0.88	13374	315.96092796092796	1759776	0.67	1638	None
130_merged	37.3	1.41	Neural Network (Specific Model)	11	0.931	2997	253.32838589981446	1754767	0.71	2156	None
142_merged	50.6	0.38	Gradient Boost (General Model)	11	0.891	13522	281.15533980582524	1458255	0.65	1545	None
143_merged	49.16	0.0	Neural Network (Specific Model)	11	0.9	16408	288.74051069703245	1390344	0.65	1449	None
146_merged	37.19	0.38	Neural Network (Specific Model)	11	0.889	12885	283.0915300546448	1394113	0.69	1464	None
149_merged	80.81	0.04	Neural Network (Specific Model)	11	0.881	83655	318.7433142857143	4743527	0.6	4375	None
16p_S16_bin.13	34.89	0.14	Neural Network (Specific Model)	11	0.874	11348	316.19449225473323	1258143	0.6	1162	None
16p_S16_bin.26	46.51	0.62	Gradient Boost (General Model)	11	0.906	2819	256.5223260643821	816557	0.59	963	None
16p_S16_bin.62	48.4	0.7	Neural Network (Specific Model)	11	0.886	27665	358.2957038391225	2652027	0.65	2188	None
176_merged	70.35	0.0	Gradient Boost (General Model)	11	0.898	11861	307.0033482142857	1836788	0.36	1792	None
17_S43_bin.6	99.64	0.48	Gradient Boost (General Model)	4	0.892	13907	291.6891495601173	1002280	0.43	1023	None
17_S43_bin.7	48.59	1.7	Neural Network (Specific Model)	11	0.91	4492	272.34689389774604	1630310	0.6	1819	None
183_merged	52.28	2.48	Gradient Boost (General Model)	11	0.925	16651	281.6500802568218	1135010	0.67	1246	None
191_merged	46.98	0.06	Gradient Boost (General Model)	11	0.902	16600	294.26666666666665	1639388	0.7	1680	None
19_S45_bin.5	97.97	0.08	Gradient Boost (General Model)	11	0.893	24968	292.82608695652175	2710149	0.66	2760	None
20_S46_bin.7	49.24	0.63	Neural Network (Specific Model)	11	0.898	7797	271.9508975712777	1716664	0.67	1894	None
20_S46_bin.8	100.0	0.26	Gradient Boost (General Model)	11	0.917	540148	307.22222222222223	830799	0.46	828	None
23_S49_bin.1	33.55	0.36	Neural Network (Specific Model)	11	0.896	4418	255.2516891891892	1009698	0.69	1184	None
23_S49_bin.3	41.39	2.36	Neural Network (Specific Model)	11	0.9	4774	268.546786004882	2197269	0.63	2458	None
32_merged	89.65	0.33	Neural Network (Specific Model)	11	0.819	68975	239.85684860968075	1701738	0.48	1942	None
4p_S4_bin.8	29.38	0.01	Neural Network (Specific Model)	11	0.901	3092	248.20322085889572	1075567	0.64	1304	None
ERR4660997rbin.2	55.93	3.66	Neural Network (Specific Model)	11	0.851	3854	250.5481626828398	4937348	0.62	5606	None
GCA_003131305.1_20120500_P38_genomic	96.89	5.24	Gradient Boost (General Model)	11	0.858	31249	307.96635140050927	5904282	0.58	5498	None
GCA_003131705.1_20120500_P38_genomic	81.17	3.04	Gradient Boost (General Model)	11	0.857	12309	260.45603130755063	3940173	0.58	4344	None
GCA_003132105.1_20120500_P28_genomic	79.11	5.55	Gradient Boost (General Model)	11	0.827	7563	241.96476457748676	2805127	0.44	3207	None
GCA_003132645.1_20120500_P19_genomic	87.95	2.02	Gradient Boost (General Model)	11	0.87	12346	281.1273106738223	3243211	0.69	3354	None
