user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
32_merged	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	97.04	0.76	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	97.04	0.76	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 81.73, 0.71; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 79.39, 0.4; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 79.34, 0.37; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 79.11, 0.41; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 78.01, 0.26	97.86	11	N/A	N/A
GCA_003141855.1_20120800_E1X_genomic	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp003141855	GCA_003141855.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp003141855	100.0	1.0	GCA_003141855.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp003141855	100.0	1.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003151735.1, s__PALSA-986 sp003151735, 95.0, 82.19, 0.62; GCA_903901015.1, s__PALSA-986 sp903901015, 95.0, 80.59, 0.59; GCA_003133625.1, s__PALSA-986 sp003133625, 95.0, 79.5, 0.45; GCA_003164295.1, s__PALSA-986 sp003164295, 95.0, 77.76, 0.28; GCA_003589585.1, s__PALSA-986 sp003589585, 95.0, 77.74, 0.32; GCA_011332615.1, s__PALSA-986 sp011332615, 95.0, 77.62, 0.27; GCA_011367965.1, s__PALSA-986 sp011367965, 95.0, 77.55, 0.27; GCA_003165195.1, s__PALSA-986 sp003165195, 95.0, 77.53, 0.22; GCA_012511995.1, s__PALSA-986 sp012511995, 95.0, 77.25, 0.08; GCA_012515445.1, s__PALSA-986 sp012515445, 95.0, 77.04, 0.19; GCA_009776805.1, s__PALSA-986 sp009776805, 95.0, 76.92, 0.05; GCA_009787175.1, s__PALSA-986 sp009787175, 95.0, 76.88, 0.07; GCA_009783705.1, s__PALSA-986 sp009783705, 95.0, 76.87, 0.12; GCA_012513715.1, s__PALSA-986 sp012513715, 95.0, 76.53, 0.13; GCA_009787585.1, s__PALSA-986 sp009787585, 95.0, 76.43, 0.07; GCA_009781675.1, s__PALSA-986 sp009781675, 95.0, 76.42, 0.13; GCA_009778385.1, s__PALSA-986 sp009778385, 95.0, 76.37, 0.07; GCA_009781395.1, s__PALSA-986 sp009781395, 95.0, 76.28, 0.07; GCA_009779045.1, s__PALSA-986 sp009779045, 95.0, 76.15, 0.08	94.88	11	N/A	N/A
GCA_003151535.1_20120700_P3D_genomic	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003151535	GCA_003151535.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003151535	100.0	0.99	GCA_003151535.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003151535	100.0	0.99	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003158115.1, s__Methanobacterium_B sp003158115, 95.0, 88.77, 0.79; GCA_003164415.1, s__Methanobacterium_B sp003164415, 95.0, 86.67, 0.72; GCA_003162655.1, s__Methanobacterium_B sp003162655, 95.0, 81.6, 0.73; GCA_003162115.1, s__Methanobacterium_B sp003162115, 95.0, 81.49, 0.66; GCF_000744455.1, s__Methanobacterium_B sp000744455, 95.0, 80.58, 0.44; GCA_009712615.1, s__Methanobacterium_B sp009712615, 95.0, 78.74, 0.25; GCF_000191585.1, s__Methanobacterium_B lacus, 95.0, 78.61, 0.24	91.4	11	N/A	N/A
GCA_003170935.1_20110800_E2D_genomic	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	100.0	0.99	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	100.0	0.99	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 81.46, 0.63; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 79.32, 0.38; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 79.28, 0.36; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 79.12, 0.33; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 78.52, 0.25	91.09	11	N/A	N/A
SRR10489820bin.6	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003141855.1, s__PALSA-986 sp003141855, 95.0, 80.62, 0.61; GCA_903901015.1, s__PALSA-986 sp903901015, 95.0, 80.23, 0.53; GCA_003151735.1, s__PALSA-986 sp003151735, 95.0, 80.13, 0.68; GCA_003164295.1, s__PALSA-986 sp003164295, 95.0, 78.53, 0.35; GCA_003133625.1, s__PALSA-986 sp003133625, 95.0, 77.65, 0.26; GCA_009778385.1, s__PALSA-986 sp009778385, 95.0, 77.54, 0.07; GCA_003165195.1, s__PALSA-986 sp003165195, 95.0, 77.13, 0.23; GCA_011332615.1, s__PALSA-986 sp011332615, 95.0, 76.92, 0.21; GCA_009783705.1, s__PALSA-986 sp009783705, 95.0, 76.74, 0.07; GCA_009787175.1, s__PALSA-986 sp009787175, 95.0, 76.64, 0.04; GCA_003589585.1, s__PALSA-986 sp003589585, 95.0, 76.46, 0.15; GCA_011367965.1, s__PALSA-986 sp011367965, 95.0, 76.38, 0.21; GCA_012515445.1, s__PALSA-986 sp012515445, 95.0, 76.34, 0.12; GCA_009787585.1, s__PALSA-986 sp009787585, 95.0, 76.2, 0.04; GCA_009781675.1, s__PALSA-986 sp009781675, 95.0, 76.2, 0.05; GCA_012513715.1, s__PALSA-986 sp012513715, 95.0, 76.14, 0.11; GCA_009781395.1, s__PALSA-986 sp009781395, 95.0, 76.09, 0.07; GCA_009779045.1, s__PALSA-986 sp009779045, 95.0, 75.78, 0.04; GCA_009776805.1, s__PALSA-986 sp009776805, 95.0, 75.72, 0.05; GCA_012511995.1, s__PALSA-986 sp012511995, 95.0, 75.23, 0.04	45.17	11	0.9632927982979687	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR10489830bin.9	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	N/A	N/A	N/A	N/A	N/A	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	92.14	0.75	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	N/A	GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 81.05, 0.64; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 78.77, 0.31; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 78.66, 0.39; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 78.36, 0.37; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 78.12, 0.23	77.05	11	0.9866507035272248	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR10489833bin.7	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp017883485	GCA_017883485.1	95.0	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp017883485	99.41	0.81	GCA_017883485.1	95.0	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp017883485	99.41	0.81	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001714685.2, s__Methanosarcina sp001714685, 95.0, 83.12, 0.72; GCA_002505485.1, s__Methanosarcina sp002505485, 95.0, 79.04, 0.47; GCF_004099695.1, s__Methanosarcina sp004099695, 95.0, 78.89, 0.47; GCA_002509325.1, s__Methanosarcina sp002509325, 95.0, 78.87, 0.37; GCA_003157235.1, s__Methanosarcina sp003157235, 95.0, 78.8, 0.32; GCA_002496565.1, s__Methanosarcina sp002496565, 95.0, 78.79, 0.45; GCA_003164755.1, s__Methanosarcina sp003164755, 95.0, 78.74, 0.37; GCF_000969905.1, s__Methanosarcina vacuolata, 95.0, 78.64, 0.49; GCF_001304615.2, s__Methanosarcina flavescens, 95.0, 78.64, 0.42; GCF_002287235.1, s__Methanosarcina spelaei, 95.0, 78.63, 0.46; GCF_000195895.1, s__Methanosarcina barkeri_B, 95.0, 78.58, 0.49; GCF_000970025.1, s__Methanosarcina barkeri, 95.0, 78.55, 0.49; GCF_000970285.1, s__Methanosarcina horonobensis, 95.0, 78.53, 0.43; GCF_000970305.1, s__Methanosarcina barkeri_A, 95.0, 78.53, 0.45; GCF_000979455.1, s__Methanosarcina sp000979455, 95.0, 78.52, 0.44; GCA_002499445.1, s__Methanosarcina sp002499445, 95.0, 78.51, 0.43; GCF_000969965.1, s__Methanosarcina sp000969965, 95.0, 78.5, 0.41; GCF_000970265.1, s__Methanosarcina lacustris, 95.0, 78.45, 0.45; GCF_000969885.1, s__Methanosarcina thermophila, 95.0, 78.34, 0.42; GCA_013331275.1, s__Methanosarcina sp11020u, 95.0, 78.31, 0.41; GCF_000970085.1, s__Methanosarcina siciliae, 95.0, 78.3, 0.41; GCF_000007345.1, s__Methanosarcina acetivorans, 95.0, 78.24, 0.45; GCA_013330315.1, s__Methanosarcina sp8098u, 95.0, 77.99, 0.21; GCF_000970205.1, s__Methanosarcina mazei, 95.0, 77.9, 0.4; GCA_013331265.1, s__Methanosarcina sp10923u, 95.0, 77.84, 0.32	80.29	11	N/A	N/A
SRR12756228bin.1	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	N/A	N/A	N/A	N/A	N/A	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	86.72	0.71	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	N/A	GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 83.2, 0.76; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 79.73, 0.49; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 79.7, 0.45; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 79.41, 0.51; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 78.75, 0.29	91.21	11	0.9681874116359832	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR1586251rbin.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452;s__UBA10452 sp002501855	GCA_002501855.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452;s__UBA10452 sp002501855	98.51	0.86	GCA_002501855.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452;s__UBA10452 sp002501855	98.51	0.86	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003176995.1, s__UBA10452 sp003176995, 95.0, 94.65, 0.85; GCA_009665115.1, s__UBA10452 sp009665115, 95.0, 94.48, 0.69; GCF_009898475.1, s__UBA10452 sp009898475, 95.0, 76.71, 0.11	67.46	11	N/A	N/A
SRR3985190rbin.18	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	95.59	0.84	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	95.59	0.84	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.93, 0.83; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 89.17, 0.82; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.81, 0.57; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.83, 0.59; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 80.24, 0.36	94.46	11	N/A	N/A
